Data,Hora,Localização,TipoGeométrico,NomePonto,Eixo,Nominal,Medido,Desvio,Tol+,Tol-,Origem
05/12/2025,10:32:06,LOC59,PONTO,PTO_DE_SUPERFICIE_64,Z,117.43,117.78,0.35,0.6,-0.6,C2025.3007.csv
05/12/2025,10:32:06,LOC49,PONTO,PTO_DE_SUPERFICIE_65,Z,117.43,117.81,0.38,0.6,-0.6,C2025.3007.csv
05/12/2025,10:32:06,LOC48,PONTO,PTO_DE_SUPERFICIE_66,Z,117.43,117.34,-0.09,0.6,-0.6,C2025.3007.csv
05/12/2025,10:32:06,LOC60,PONTO,PTO_DE_SUPERFICIE_51,X,3157.27,3156.63,-0.65,0.6,-0.6,C2025.3007.csv
05/12/2025,10:32:06,LOC61,PONTO,PTO_DE_SUPERFICIE_52,X,3163.23,3162.91,-0.31,0.6,-0.6,C2025.3007.csv
05/12/2025,10:32:06,LOC62,PONTO,PTO_DE_SUPERFICIE_53,X,3157.06,3156.36,-0.7,0.6,-0.6,C2025.3007.csv
05/12/2025,10:32:06,LOC63,PONTO,PTO_DE_SUPERFICIE_54,X,3163.65,3163.09,-0.56,0.6,-0.6,C2025.3007.csv
05/12/2025,10:32:06,LOC64,PONTO,PTO_DE_SUPERFICIE_67,X,3157.27,3156.28,-0.99,0.6,-0.6,C2025.3007.csv
05/12/2025,10:32:06,LOC65,PONTO,PTO_DE_SUPERFICIE_68,X,3163.86,3163.4,-0.46,0.6,-0.6,C2025.3007.csv
05/12/2025,10:32:06,LOC66,PONTO,PTO_DE_SUPERFICIE_69,X,3163.01,3162.56,-0.46,0.6,-0.6,C2025.3007.csv
05/12/2025,10:32:06,LOC67,PONTO,PTO_DE_SUPERFICIE_70,X,3156.85,3155.98,-0.87,0.6,-0.6,C2025.3007.csv
05/12/2025,10:32:06,LOC68,PONTO,PTO_DE_SUPERFICIE_77,X,3277.88,3278.19,0.31,0.6,-0.6,C2025.3007.csv
05/12/2025,10:32:06,LOC69,PONTO,PTO_DE_SUPERFICIE_78,X,3272.14,3272.55,0.41,0.6,-0.6,C2025.3007.csv
05/12/2025,10:32:06,LOC70,PONTO,PTO_DE_SUPERFICIE_75,X,3272.57,3273.02,0.45,0.6,-0.6,C2025.3007.csv
05/12/2025,10:32:06,LOC71,PONTO,PTO_DE_SUPERFICIE_76,X,3278.31,3278.68,0.37,0.6,-0.6,C2025.3007.csv
05/12/2025,10:32:06,LOC72,PONTO,PTO_DE_SUPERFICIE_80,X,3277.24,3277.45,0.21,0.6,-0.6,C2025.3007.csv
05/12/2025,10:32:06,LOC73,PONTO,PTO_DE_SUPERFICIE_79,X,3271.0,3271.28,0.28,0.6,-0.6,C2025.3007.csv
05/12/2025,10:32:06,LOC74,PONTO,PTO_DE_SUPERFICIE_81,T,0.0,-0.43,-0.43,0.6,-0.6,C2025.3007.csv
05/12/2025,10:32:06,LOC75,PONTO,PTO_DE_SUPERFICIE_82,X,3277.24,3277.48,0.24,0.6,-0.6,C2025.3007.csv
05/12/2025,10:32:06,LOC76,PONTO,PTO_DE_SUPERFICIE_73,Y,51.5,51.79,0.28,0.6,-0.6,C2025.3007.csv
05/12/2025,10:32:06,LOC77,PONTO,PTO_DE_SUPERFICIE_74,Y,51.5,51.4,-0.1,0.6,-0.6,C2025.3007.csv
05/12/2025,10:32:06,LOC78,PONTO,PTO_DE_SUPERFICIE_71,Y,-51.5,-51.26,0.24,0.6,-0.6,C2025.3007.csv
05/12/2025,10:32:06,LOC79,PONTO,PTO_DE_SUPERFICIE_72,Y,-51.5,-52.45,-0.95,0.6,-0.6,C2025.3007.csv
05/12/2025,10:32:06,LOC80,PONTO,PTO_DE_BORDA_APARADA_01,X,3310.15,3310.6,0.45,1.2,-1.2,C2025.3007.csv
05/12/2025,10:32:06,LOC81,PONTO,PTO_DE_BORDA_APARADA_02,X,3310.15,3310.33,0.18,1.2,-1.2,C2025.3007.csv
05/12/2025,10:32:06,LOC82,PONTO,PTO_DE_BORDA_APARADA_03,X,3336.03,3335.91,-0.12,1.2,-1.2,C2025.3007.csv
05/12/2025,10:32:06,LOC83,PONTO,PTO_DE_BORDA_APARADA_04,X,3310.15,3309.7,-0.45,1.2,-1.2,C2025.3007.csv
05/12/2025,10:32:06,LOC84,PONTO,PTO_DE_BORDA_APARADA_10,X,3125.44,3123.24,-2.2,1.2,-1.2,C2025.3007.csv
05/12/2025,10:32:06,LOC85,PONTO,PTO_DE_BORDA_APARADA_11,X,3125.44,3123.32,-2.12,1.2,-1.2,C2025.3007.csv
05/12/2025,10:32:06,LOC86,PONTO,PTO_DE_BORDA_APARADA_12,X,3125.44,3123.56,-1.88,1.2,-1.2,C2025.3007.csv
05/12/2025,10:32:06,LOC87,PONTO,PTO_DE_BORDA_APARADA_13,X,3125.44,3123.78,-1.66,1.2,-1.2,C2025.3007.csv
05/12/2025,10:32:06,LOC88,PONTO,PTO_DE_BORDA_APARADA_14,X,3125.44,3124.11,-1.32,1.2,-1.2,C2025.3007.csv
05/12/2025,10:32:06,LOC89,PONTO,PTO_DE_BORDA_APARADA_15,X,3125.44,3124.49,-0.95,1.2,-1.2,C2025.3007.csv
05/12/2025,10:32:06,LOC90,PONTO,PTO_DE_BORDA_APARADA_23,X,3336.03,3336.59,0.56,1.2,-1.2,C2025.3007.csv
05/12/2025,10:32:06,LOC91,PONTO,PTO_DE_BORDA_APARADA_24,X,3310.15,3310.84,0.69,1.2,-1.2,C2025.3007.csv
05/12/2025,10:32:06,LOC92,PONTO,PTO_DE_BORDA_APARADA_21,Y,-306.52,-306.47,0.05,1.0,-1.0,C2025.3007.csv
05/12/2025,10:32:06,LOC93,PONTO,PTO_DE_BORDA_APARADA_20,Y,-306.52,-306.53,-0.01,1.0,-1.0,C2025.3007.csv
05/12/2025,10:32:06,LOC94,PONTO,PTO_DE_BORDA_APARADA_19,Y,-306.52,-306.64,-0.12,1.0,-1.0,C2025.3007.csv
05/12/2025,10:32:06,LOC95,PONTO,PTO_DE_BORDA_APARADA_18,Y,-306.52,-306.67,-0.15,1.0,-1.0,C2025.3007.csv
05/12/2025,10:32:06,LOC96,PONTO,PTO_DE_BORDA_APARADA_17,Y,-306.52,-306.75,-0.23,1.0,-1.0,C2025.3007.csv
05/12/2025,10:32:06,LOC97,PONTO,PTO_DE_BORDA_APARADA_16,Y,-306.52,-306.84,-0.32,1.0,-1.0,C2025.3007.csv
05/12/2025,10:32:06,LOC98,PONTO,PTO_DE_BORDA_APARADA_22,Y,306.51,306.48,-0.03,1.0,-1.0,C2025.3007.csv
05/12/2025,10:32:06,LOC99,PONTO,PTO_DE_BORDA_APARADA_05,Y,306.51,306.62,0.11,1.0,-1.0,C2025.3007.csv
